"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D590","2020-04-03 00:00:00","143.000","47.000","3.600","18.100","0.930","1003.700","","18.000","-99.000","-99.000","-99.000","20.600","","15.100",""
"C0U990","2020-04-03 00:00:00","31.000","202.000","0.400","18.900","0.990","1017.600","","5.500","-99.000","-99.000","-99.000","20.800","","16.000",""
"C0M700","2020-04-03 00:00:00","150.000","32.000","0.500","19.800","0.970","1001.200","","0.500","-99.000","-99.000","-99.000","24.300","","17.400",""
"C0A970","2020-04-03 00:00:00","96.000","208.000","2.500","18.800","0.990","1009.700","","10.000","-99.000","-99.000","-99.000","18.800","","15.800",""
"CM0110","2020-04-03 00:00:00","7.000","39.000","3.600","19.700","0.810","1017.800","","-99.000","-99.000","-99.000","-99.000","21.800","","17.400",""
"C0S940","2020-04-03 00:00:00","150.000","0.000","0.100","20.200","0.850","1002.100","","0.000","-99.000","-99.000","-99.000","24.200","","17.700",""
"C0X250","2020-04-03 00:00:00","33.000","28.000","2.600","20.200","0.860","1014.000","","0.000","-99.000","-99.000","-99.000","23.500","","17.600",""
"C0K520","2020-04-03 00:00:00","10.000","21.000","2.900","20.300","0.880","1016.000","","0.500","-99.000","-99.000","-99.000","22.300","","17.200",""
"C0Z200","2020-04-03 00:00:00","153.000","0.000","0.200","18.800","0.990","1003.700","","0.500","-99.000","-99.000","-99.000","22.200","","16.400",""
"C0V740","2020-04-03 00:00:00","60.000","167.000","1.300","22.100","0.910","1011.600","","0.000","-99.000","-99.000","-99.000","25.800","","19.500",""
"C0V790","2020-04-03 00:00:00","410.000","22.000","2.000","21.000","0.870","970.000","","0.000","-99.000","-99.000","-99.000","24.700","","19.300",""
"C0G860","2020-04-03 00:00:00","45.000","351.000","1.000","20.300","0.930","1012.000","","7.000","-99.000","-99.000","-99.000","23.100","","18.300",""
"C0Z250","2020-04-03 00:00:00","1124.000","310.000","1.200","14.100","0.990","895.000","","1.000","-99.000","-99.000","-99.000","17.200","","12.100",""
"C0K440","2020-04-03 00:00:00","35.000","338.000","4.100","19.300","0.990","1014.200","","0.500","-99.000","-99.000","-99.000","21.800","","16.600",""
"C0T900","2020-04-03 00:00:00","160.000","0.000","0.000","17.900","0.930","1000.400","","1.000","-99.000","-99.000","-99.000","24.100","","16.200",""
"C0F9V0","2020-04-03 00:00:00","525.000","95.000","0.600","18.000","0.980","959.100","","15.500","-99.000","-99.000","-99.000","23.700","","14.300",""
"C0UA20","2020-04-03 00:00:00","2619.000","201.000","2.200","7.600","1.000","-99.000","","11.000","-99.000","-99.000","-99.000","13.400","","5.900",""
"C0M850","2020-04-03 00:00:00","695.000","0.000","0.000","18.100","0.990","938.700","","3.000","-99.000","-99.000","-99.000","23.000","","17.700",""
"C0F9Q0","2020-04-03 00:00:00","149.000","323.000","1.500","18.100","1.000","1000.200","","16.000","-99.000","-99.000","-99.000","21.700","","16.200",""
"C0F9X0","2020-04-03 00:00:00","166.000","2.000","3.200","17.600","0.990","1004.000","","5.500","-99.000","-99.000","-99.000","22.300","","15.900",""
"C0F0D0","2020-04-03 00:00:00","3171.000","153.000","2.400","5.700","1.000","700.800","","11.500","-99.000","-99.000","-99.000","10.000","","3.600",""
"C0S730","2020-04-03 00:00:00","110.000","29.000","7.900","21.200","0.920","1006.400","","2.000","-99.000","-99.000","-99.000","23.000","","18.700",""
"C0T790","2020-04-03 00:00:00","2830.000","267.000","1.400","9.600","0.910","729.800","","14.000","-99.000","-99.000","-99.000","12.800","","7.400",""
"C0V750","2020-04-03 00:00:00","50.000","0.000","0.000","22.100","0.880","1013.100","","0.000","-99.000","-99.000","-99.000","26.300","","19.600",""
"C0K530","2020-04-03 00:00:00","12.000","34.000","3.600","20.700","0.870","1016.800","","1.000","-99.000","-99.000","-99.000","21.900","","17.500",""
"C0M780","2020-04-03 00:00:00","30.000","48.000","1.200","20.000","0.900","1014.800","","3.500","-99.000","-99.000","-99.000","22.600","","17.300",""
"C0V360","2020-04-03 00:00:00","94.000","13.000","0.300","20.100","0.860","1006.600","","0.000","-99.000","-99.000","-99.000","26.700","","17.800",""
"C0K510","2020-04-03 00:00:00","10.000","4.000","2.200","20.300","0.890","1016.100","","3.500","-99.000","-99.000","-99.000","22.500","","17.200",""
"C0D650","2020-04-03 00:00:00","97.000","36.000","3.200","18.600","0.880","1008.300","","15.000","-99.000","-99.000","-99.000","20.300","","15.800",""
"C0U650","2020-04-03 00:00:00","442.000","256.000","2.100","16.000","0.990","969.800","","4.500","-99.000","-99.000","-99.000","17.500","","13.100",""
"C0G810","2020-04-03 00:00:00","26.000","342.000","2.000","19.800","0.920","1015.000","","3.000","-99.000","-99.000","-99.000","23.100","","18.100",""
"C0F9Z0","2020-04-03 00:00:00","3193.000","231.000","4.300","5.400","0.900","698.800","","0.000","12.800","231.000","","9.500","","3.700",""
"C0M410","2020-04-03 00:00:00","245.000","322.000","1.300","20.200","0.910","985.700","","1.000","-99.000","-99.000","-99.000","25.700","","19.800",""
"C0I410","2020-04-03 00:00:00","180.000","29.000","1.900","19.100","0.940","996.900","","5.000","-99.000","-99.000","-99.000","24.100","","16.200",""
"C0K390","2020-04-03 00:00:00","31.000","28.000","2.400","19.700","0.890","1014.500","","3.500","-99.000","-99.000","-99.000","22.700","","16.800",""
"C0I540","2020-04-03 00:00:00","3344.000","-99.000","-99.000","5.400","1.000","686.300","","-99.000","-99.000","-99.000","-99.000","5.900","","3.600",""
"C0G890","2020-04-03 00:00:00","24.000","25.000","3.700","19.500","1.000","1015.500","","4.000","-99.000","-99.000","-99.000","21.400","","17.400",""
"C0G720","2020-04-03 00:00:00","50.000","335.000","1.900","19.300","0.910","1012.000","","2.000","-99.000","-99.000","-99.000","22.300","","17.100",""
"C0UA40","2020-04-03 00:00:00","1121.000","210.000","2.100","12.900","0.990","894.800","","3.000","-99.000","-99.000","-99.000","15.800","","10.300",""
"C0V400","2020-04-03 00:00:00","56.000","276.000","1.300","21.900","0.890","1010.700","","0.000","-99.000","-99.000","-99.000","26.100","","19.200",""
"C0X130","2020-04-03 00:00:00","27.000","27.000","2.000","21.000","0.880","1014.200","","0.500","-99.000","-99.000","-99.000","23.900","","18.400",""
"C0A520","2020-04-03 00:00:00","48.000","53.000","2.100","19.400","0.900","1014.200","","13.500","-99.000","-99.000","-99.000","21.000","","16.300",""
"C0U870","2020-04-03 00:00:00","474.000","0.000","0.000","16.500","0.950","966.700","","7.000","-99.000","-99.000","-99.000","17.400","","12.800",""
"C0S690","2020-04-03 00:00:00","522.000","26.000","0.400","17.900","0.930","960.400","","0.000","-99.000","-99.000","-99.000","21.900","","16.100",""
"C0R150","2020-04-03 00:00:00","105.000","0.000","0.000","21.600","0.990","1004.000","","1.000","-99.000","-99.000","-99.000","26.900","","20.200",""
"C0M840","2020-04-03 00:00:00","578.000","0.000","0.000","18.800","0.960","952.300","","-99.000","-99.000","-99.000","-99.000","23.900","","18.200",""
"C0K560","2020-04-03 00:00:00","117.000","137.000","0.500","19.000","0.960","1005.100","","6.500","-99.000","-99.000","-99.000","24.300","","17.300",""
"C0X100","2020-04-03 00:00:00","10.000","6.000","1.900","21.400","0.940","1014.800","","0.000","-99.000","-99.000","-99.000","24.500","","18.800",""
"C0K460","2020-04-03 00:00:00","60.000","5.000","3.100","19.600","0.900","1010.200","","3.000","-99.000","-99.000","-99.000","22.700","","17.200",""
"C0M740","2020-04-03 00:00:00","15.000","33.000","1.300","20.200","0.910","1015.400","","1.500","-99.000","-99.000","-99.000","22.500","","17.200",""
"C0SA10","2020-04-03 00:00:00","411.000","338.000","0.400","17.700","0.960","972.900","","0.000","-99.000","-99.000","-99.000","23.000","","15.500",""
"C0C660","2020-04-03 00:00:00","176.000","27.000","2.000","17.600","0.920","999.300","","14.000","-99.000","-99.000","-99.000","20.300","","15.300",""
"C0R620","2020-04-03 00:00:00","34.000","61.000","2.600","24.100","0.780","1014.400","","0.000","7.800","74.000","","24.300","","21.000",""
"C0R700","2020-04-03 00:00:00","19.000","348.000","0.700","23.400","0.750","1015.800","","0.000","-99.000","-99.000","-99.000","26.000","","21.900",""
"C0F0B0","2020-04-03 00:00:00","311.000","76.000","0.500","17.800","0.990","982.800","","8.500","-99.000","-99.000","-99.000","21.800","","15.400",""
"C0O970","2020-04-03 00:00:00","71.000","320.000","0.700","20.200","0.900","1009.600","","0.000","-99.000","-99.000","-99.000","26.200","","17.500",""
"C0F9P0","2020-04-03 00:00:00","26.000","34.000","2.600","19.300","0.960","1016.400","","20.000","-99.000","-99.000","-99.000","21.900","","17.200",""
"C0R560","2020-04-03 00:00:00","22.000","311.000","1.000","22.400","0.820","1015.500","","0.000","-99.000","-99.000","-99.000","26.200","","20.500",""
"C0X220","2020-04-03 00:00:00","26.000","7.000","1.900","20.100","0.860","1014.800","","0.000","-99.000","-99.000","-99.000","21.500","","17.300",""
"C0M680","2020-04-03 00:00:00","37.000","24.000","0.800","20.100","0.970","1015.200","","4.000","-99.000","-99.000","-99.000","22.800","","17.200",""
"C0S710","2020-04-03 00:00:00","382.000","20.000","1.700","17.800","0.980","977.300","","0.000","-99.000","-99.000","-99.000","22.400","","15.800",""
"C0F9T0","2020-04-03 00:00:00","111.000","324.000","1.400","18.700","0.960","1004.700","","6.000","-99.000","-99.000","-99.000","22.600","","16.700",""
"C0F9N0","2020-04-03 00:00:00","75.000","345.000","1.200","21.100","0.860","1009.300","","8.500","-99.000","-99.000","-99.000","25.700","","18.500",""
"C0G740","2020-04-03 00:00:00","24.000","9.000","2.300","20.000","0.880","1015.600","","2.500","-99.000","-99.000","-99.000","21.600","","17.200",""
"C0UA70","2020-04-03 00:00:00","547.000","0.000","0.000","15.800","0.990","958.000","","11.000","-99.000","-99.000","-99.000","16.000","","12.500",""
"C0AC60","2020-04-03 00:00:00","55.000","0.000","0.200","18.600","0.990","1013.200","","14.000","-99.000","-99.000","-99.000","22.100","","16.400",""
"C0R510","2020-04-03 00:00:00","31.000","314.000","0.600","23.100","0.810","1013.100","","0.000","-99.000","-99.000","-99.000","26.600","","21.100",""
"C0X060","2020-04-03 00:00:00","19.000","20.000","2.600","20.200","0.880","1017.300","","1.000","-99.000","-99.000","-99.000","23.600","","17.300",""
"C0E550","2020-04-03 00:00:00","84.000","0.000","0.200","17.300","1.000","1010.300","","10.000","-99.000","-99.000","-99.000","20.100","","15.500",""
"C0AI20","2020-04-03 00:00:00","25.000","61.000","6.000","18.900","0.850","1017.200","","17.000","-99.000","-99.000","-99.000","19.100","","16.000",""
"C0E740","2020-04-03 00:00:00","27.000","0.000","0.000","17.600","1.000","1010.200","","14.500","-99.000","-99.000","-99.000","20.900","","16.100",""
"C0R650","2020-04-03 00:00:00","29.000","11.000","0.400","22.400","0.990","1015.200","","0.000","-99.000","-99.000","-99.000","26.300","","21.000",""
"C0S750","2020-04-03 00:00:00","2280.000","0.000","0.000","10.400","1.000","777.500","","0.500","-99.000","-99.000","-99.000","15.000","","10.400",""
"C0I370","2020-04-03 00:00:00","671.000","0.000","0.000","17.800","0.990","943.400","","13.000","-99.000","-99.000","-99.000","23.800","","16.700",""
"C0K400","2020-04-03 00:00:00","65.000","350.000","1.500","19.600","0.990","1011.200","","1.500","-99.000","-99.000","-99.000","22.800","","17.300",""
"C0A650","2020-04-03 00:00:00","287.000","0.000","0.000","16.600","0.990","986.600","","12.500","-99.000","-99.000","-99.000","18.100","","14.000",""
